angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.00,-0.00,-0.03,-0.02,-0.10,0.04,0.05,0.48,1000,1000,1000,1000,1495,1474,1480,1030,13032,1,1.00
-0.00,-0.00,0.01,-0.03,-0.07,-0.03,0.03,0.37,1000,1000,1000,1000,1495,1474,1480,1030,13032,1,1.00
-0.00,-0.01,-0.02,0.03,-0.07,0.04,0.01,0.34,1000,1000,1000,1000,1495,1474,1480,1030,13032,1,1.00
-0.00,-0.01,-0.02,-0.02,0.01,0.04,0.05,-0.03,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.00,-0.01,0.08,0.00,-0.02,-0.04,-0.03,0.11,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.01,-0.02,0.10,0.01,0.03,-0.10,-0.05,1150,1150,1150,1150,1495,1474,1479,1030,13032,1,1.00
-0.01,-0.01,0.01,0.04,-0.06,-0.03,-0.07,0.31,1150,1150,1150,1150,1495,1474,1479,1030,13032,1,1.00
-0.01,-0.01,-0.09,0.02,0.04,0.06,0.01,-0.19,1150,1150,1150,1150,1495,1474,1479,1030,13032,1,1.00
-0.01,-0.01,0.01,-0.07,0.18,0.08,0.08,-0.92,1150,1150,1150,1150,1496,1473,1480,1030,13032,1,1.00
-0.01,-0.01,-0.04,-0.11,-0.16,0.10,0.16,0.80,1150,1150,1150,1150,1496,1473,1480,1030,13032,1,1.00
-0.01,-0.01,-0.11,-0.00,-0.13,0.02,0.09,0.65,1150,1150,1150,1150,1496,1473,1480,1030,13032,1,1.00
-0.01,-0.01,0.01,-0.05,0.14,-0.03,0.03,-0.70,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.02,0.05,-0.14,-0.15,0.03,0.11,0.74,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.02,0.12,-0.16,-0.34,0.03,0.19,1.69,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.02,0.13,-0.05,0.08,-0.08,0.13,-0.42,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.02,0.02,0.01,0.29,-0.01,-0.00,-1.46,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
-0.01,-0.02,0.05,-0.04,-0.05,-0.08,0.04,0.23,1150,1150,1150,1150,1495,1474,1480,1030,13032,1,1.00
