angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw,vbat_comp
-0.01,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.01,-0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.02,-0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.03,-0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.01,0.05,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.02,0.07,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.02,0.03,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.04,-0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.03,-0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.01,0.03,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.01,0.03,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.00,0.00,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.01,0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,0.01,-0.00,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.02,-0.03,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1500,1028,12240,1,1.00,1.00
-0.01,-0.02,-0.01,0.03,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1500,1028,12240,1,1.00,1.00
-0.00,-0.02,0.02,0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1500,1028,12240,1,1.00,1.00
-0.00,-0.02,0.07,0.01,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
0.00,-0.01,0.12,0.06,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
0.01,-0.01,-0.14,-0.02,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12240,1,1.00,1.00
0.01,-0.01,-0.16,-0.08,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.02,-0.01,-0.03,-0.04,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.02,-0.02,0.01,-0.00,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.02,-0.01,0.32,0.17,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.02,0.00,0.40,0.04,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.02,0.01,0.14,-0.19,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.01,0.01,-0.35,-0.26,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
0.00,0.02,-0.05,-0.00,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
-0.00,0.02,0.25,-0.04,0.00,0.00,0.00,0.00,1100,1100,1100,1100,1500,1520,1498,1028,12239,1,1.00,1.00
