angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.04,-0.08,-0.06,0.03,0.01,0.04,-0.02,-0.00,1000,1000,1000,1000,1501,1528,1502,1030,11754,1,1.00
-0.04,-0.08,-0.02,-0.02,-0.03,0.01,0.01,0.00,1000,1000,1000,1000,1501,1528,1502,1030,11754,1,1.00
-0.04,-0.08,0.04,-0.01,0.09,-0.03,0.01,-0.00,1150,1150,1150,1150,1501,1530,1501,1030,11754,1,1.00
-0.04,-0.08,-0.04,-0.02,-0.02,0.02,0.01,0.00,1150,1150,1150,1150,1499,1537,1501,1030,11754,1,1.00
-0.04,-0.08,-0.00,0.02,-0.04,0.00,-0.02,0.00,1150,1150,1150,1150,1499,1537,1501,1030,11754,1,1.00
-0.04,-0.08,-0.01,-0.03,0.07,0.01,0.02,-0.00,1150,1150,1150,1150,1501,1537,1500,1030,11754,1,1.00
-0.04,-0.08,-0.00,-0.04,-0.04,0.00,0.02,0.00,1150,1150,1150,1150,1500,1537,1500,1030,11754,1,1.00
-0.04,-0.08,-0.05,-0.01,0.07,0.04,0.01,-0.00,1150,1150,1150,1150,1500,1536,1499,1030,11754,1,1.00
-0.04,-0.07,0.13,-0.00,0.02,-0.09,0.00,0.00,1150,1150,1150,1150,1500,1534,1499,1030,11754,1,1.00
-0.04,-0.07,0.08,0.04,0.07,-0.05,-0.02,-0.00,1150,1150,1150,1150,1500,1534,1499,1030,11754,1,1.00
-0.04,-0.07,0.09,0.09,0.06,-0.06,-0.06,-0.00,1150,1150,1150,1150,1500,1534,1499,1030,11754,1,1.00
-0.04,-0.07,0.06,0.05,-0.03,-0.04,-0.03,0.00,1150,1150,1150,1150,1501,1534,1499,1030,11754,1,1.00
-0.04,-0.07,0.02,0.04,0.01,-0.01,-0.03,-0.00,1150,1150,1150,1150,1501,1534,1499,1030,11754,1,1.00
-0.04,-0.07,0.03,-0.08,-0.00,-0.02,0.05,0.00,1150,1150,1150,1150,1502,1533,1500,1030,11754,1,1.00
-0.04,-0.08,0.03,-0.06,-0.05,-0.02,0.04,0.00,1150,1150,1150,1150,1502,1533,1500,1030,11754,1,1.00
-0.04,-0.08,-0.04,-0.20,-0.05,0.02,0.13,0.00,1150,1150,1150,1150,1502,1534,1500,1030,11754,1,1.00
-0.03,-0.08,0.41,-0.08,0.34,-0.26,0.05,-0.00,1150,1150,1150,1150,1502,1534,1500,1030,11754,1,1.00
-0.04,-0.07,0.01,0.28,-0.22,-0.01,-0.18,0.00,1150,1150,1150,1150,1502,1533,1507,1030,11754,1,1.00
-0.04,-0.07,-0.44,0.26,-0.20,0.29,-0.17,0.00,1150,1150,1150,1150,1502,1533,1507,1030,11754,1,1.00
-0.04,-0.08,-0.36,-0.80,0.17,0.24,0.52,-0.00,1150,1150,1150,1150,1502,1533,1507,1030,11754,1,1.00
-0.03,-0.07,0.38,-0.14,0.41,-0.25,0.09,-0.00,1150,1150,1150,1150,1502,1532,1507,1030,11754,1,0.99
-0.03,-0.07,1.07,1.00,-0.33,-0.70,-0.65,0.00,1150,1150,1150,1150,1504,1532,1507,1030,11754,1,1.00
-0.04,-0.07,0.20,-0.92,-0.40,-0.13,0.60,0.00,1150,1150,1150,1150,1504,1531,1507,1030,11754,1,0.99
-0.03,-0.06,0.12,0.01,0.41,-0.08,-0.01,-0.00,1150,1150,1150,1150,1504,1531,1505,1030,11754,1,1.01
-0.04,-0.06,-0.35,1.04,-0.04,0.23,-0.68,0.00,1150,1150,1150,1150,1504,1531,1505,1030,11754,1,1.00
-0.03,-0.06,0.47,-0.44,-0.70,-0.31,0.28,0.00,1150,1150,1150,1150,1503,1531,1505,1030,11754,1,1.00
-0.04,-0.06,-0.23,0.64,0.03,0.15,-0.42,-0.00,1150,1150,1150,1150,1503,1531,1505,1030,11754,1,1.00
-0.04,-0.06,0.06,0.74,0.24,-0.04,-0.48,-0.00,1150,1150,1150,1150,1503,1531,1505,1030,11754,1,1.00
-0.04,-0.09,-0.84,-2.37,0.13,0.55,1.54,-0.00,1150,1150,1150,1150,1503,1531,1505,1030,11754,1,0.98
-0.04,-0.09,0.90,-2.18,-0.20,-0.59,1.42,0.00,1150,1150,1150,1150,1503,1531,1505,1030,11754,1,0.99
-0.03,-0.10,1.80,0.39,-0.11,-1.17,-0.25,0.00,1150,1150,1150,1150,1502,1532,1505,1030,11754,1,0.99
-0.04,-0.09,-0.92,0.56,0.35,0.60,-0.36,-0.00,1150,1150,1150,1150,1502,1532,1505,1030,11754,1,0.98
-0.04,-0.08,-1.20,1.41,-0.59,0.78,-0.92,0.00,1150,1150,1150,1150,1502,1532,1504,1030,11754,1,1.03
-0.04,-0.08,-0.58,-2.11,-0.27,0.38,1.37,0.00,1150,1150,1150,1150,1502,1532,1504,1030,11754,1,1.01
-0.03,-0.10,0.86,-1.75,1.06,-0.56,1.14,-0.00,1150,1150,1150,1150,1502,1532,1504,1030,11754,1,1.01
-0.04,-0.09,-0.17,0.63,-0.50,0.11,-0.41,0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.01
-0.04,-0.09,-0.64,-0.61,-1.33,0.42,0.39,0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.00
-0.04,-0.08,-0.55,2.53,1.63,0.36,-1.65,-0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.01
-0.04,-0.09,1.41,0.44,-0.23,-0.92,-0.29,0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.00
-0.04,-0.10,-0.61,-2.00,-1.56,0.40,1.30,0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.02
-0.05,-0.08,-2.83,-0.01,0.03,1.84,0.01,-0.00,1150,1150,1150,1150,1502,1531,1505,1030,11709,1,1.00
-0.04,-0.09,0.48,-0.51,1.26,-0.31,0.33,-0.00,1150,1150,1150,1150,1501,1531,1505,1030,11709,1,1.03
-0.03,-0.08,0.43,1.66,0.88,-0.28,-1.08,-0.00,1150,1150,1150,1150,1501,1532,1505,1030,11709,1,1.03
-0.05,-0.09,-0.24,-2.19,-0.31,0.15,1.42,0.00,1150,1150,1150,1150,1501,1533,1505,1030,11709,1,0.99
-0.05,-0.07,-1.86,1.46,0.54,1.21,-0.95,-0.00,1150,1150,1150,1150,1501,1533,1505,1030,11709,1,1.01
-0.04,-0.09,0.75,0.43,0.10,-0.49,-0.28,-0.00,1150,1150,1150,1150,1501,1533,1505,1029,11709,1,1.01
-0.03,-0.08,0.22,2.37,0.15,-0.14,-1.54,0.00,1150,1150,1150,1150,1501,1533,1505,1029,11709,1,0.99
-0.04,-0.10,1.15,1.91,0.12,-0.75,-1.24,-0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,0.98
-0.04,-0.09,-1.41,1.03,-0.46,0.92,-0.67,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.00
-0.05,-0.10,0.01,1.95,0.59,-0.00,-1.27,-0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.00
-0.04,-0.11,-0.91,-1.99,-0.85,0.59,1.29,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.01
-0.03,-0.08,3.79,2.53,0.12,-2.46,-1.64,-0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.04
-0.04,-0.09,-2.07,-0.50,-1.37,1.34,0.32,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.03
-0.02,-0.09,3.96,-0.38,0.63,-2.57,0.25,-0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.05
-0.05,-0.09,-0.73,1.03,-0.05,0.48,-0.67,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.01
-0.03,-0.08,-2.50,0.61,-0.85,1.63,-0.39,0.00,1150,1150,1150,1150,1500,1533,1506,1030,11709,1,1.06
-0.04,-0.07,1.55,1.13,0.79,-1.01,-0.73,-0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.02
-0.05,-0.08,-3.38,0.18,-0.91,2.20,-0.11,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.00
-0.02,-0.07,2.61,0.69,1.40,-1.70,-0.45,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.03
-0.06,-0.07,-2.37,3.09,-0.04,1.54,-2.01,0.00,1150,1150,1150,1150,1501,1533,1506,1030,11709,1,1.00
-0.04,-0.09,-3.76,0.88,-0.62,2.44,-0.57,0.00,1150,1150,1150,1150,1501,1534,1506,1030,11709,1,1.03
