angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.04,0.04,0.02,-0.02,0.06,-0.27,0.02,-0.09,1000,1000,1000,1000,1502,1533,1511,1031,11734,1,1.00
0.04,0.04,-0.07,0.04,-0.00,-0.04,-0.04,0.00,1000,1000,1000,1000,1501,1534,1511,1031,11734,1,1.00
0.04,0.04,0.03,-0.02,0.01,-0.20,0.05,-0.01,1000,1000,1000,1000,1501,1534,1511,1031,11734,1,1.00
0.04,0.04,-0.01,0.06,0.02,-0.08,-0.31,-0.03,1000,1000,1000,1000,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.04,0.00,-0.04,-0.16,0.10,0.06,1000,1000,1000,1000,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.00,0.03,0.03,-0.02,-0.09,-0.05,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,-0.01,-0.05,0.05,-0.12,0.17,-0.08,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,-0.13,0.06,-0.07,0.32,-0.26,0.11,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,-0.18,0.15,-0.03,1.31,-0.27,0.04,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,0.20,-0.33,0.02,-1.06,1.15,-0.03,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,0.00,-0.50,0.18,0.02,2.18,-0.27,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,-0.04,0.11,0.16,0.45,0.44,-0.24,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.18,0.05,-0.15,-0.56,0.20,0.23,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.14,0.20,-0.11,-1.05,-0.37,0.16,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,0.08,0.33,0.09,-0.60,-1.60,-0.13,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.21,0.01,0.06,-0.36,-0.47,-0.09,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.59,0.43,0.16,-1.42,-1.51,-0.24,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.58,0.50,-0.55,-2.05,-1.40,0.82,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.42,0.52,-0.48,-2.56,-2.09,0.72,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.05,0.10,0.48,0.99,0.24,-1.32,-1.49,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.83,0.61,-0.07,-3.10,-2.50,0.11,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.04,0.04,0.62,0.60,-1.19,-3.82,-3.20,1.78,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,1.00
0.03,0.04,-0.49,-0.65,0.39,0.10,1.37,-0.59,1150,1150,1150,1150,1501,1534,1510,1031,11734,1,0.99
