angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.06,-0.06,0.01,0.04,0.02,0.04,-0.26,-0.05,1000,1000,1000,1000,1500,1527,1513,1029,11586,1,1.00
0.06,-0.06,-0.06,-0.02,-0.10,0.09,0.14,0.25,1000,1000,1000,1000,1500,1527,1513,1029,11586,1,1.00
0.06,-0.06,0.04,-0.01,-0.05,-0.16,0.18,0.12,1000,1000,1000,1000,1500,1527,1513,1029,11586,1,1.00
0.06,-0.06,0.01,0.03,-0.00,-0.24,0.03,0.01,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.06,0.02,0.04,0.09,-0.22,0.10,-0.24,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.06,0.02,-0.05,-0.03,-0.22,0.01,0.08,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.06,0.03,0.10,-0.06,-0.16,-0.29,0.15,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.05,-0.06,0.02,0.07,-0.00,-0.18,-0.07,0.00,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.06,-0.06,0.05,-0.07,-0.00,-0.05,0.29,0.01,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.06,-0.06,-0.04,0.04,-0.13,0.43,-0.19,0.34,1150,1150,1150,1150,1499,1527,1513,1029,11586,1,1.00
0.05,-0.06,-0.14,0.01,0.13,0.33,0.57,-0.33,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.06,-0.04,-0.18,0.10,0.20,0.99,-0.24,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.06,-0.06,-0.10,-0.05,0.02,0.84,0.58,-0.04,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.06,-0.06,0.02,-0.08,0.05,0.07,0.80,-0.13,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.05,-0.06,0.03,-0.06,0.04,-0.45,0.55,-0.10,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.06,-0.06,-0.01,0.02,-0.16,0.00,-0.62,0.40,1150,1150,1150,1150,1499,1528,1513,1029,11586,1,1.00
0.06,-0.06,-0.05,-0.14,0.00,0.15,0.33,-0.00,1150,1150,1150,1150,1499,1528,1513,1029,11586,1,1.00
0.06,-0.06,0.48,0.02,0.18,-2.24,0.74,-0.46,1150,1150,1150,1150,1499,1528,1513,1029,11586,1,1.00
0.06,-0.06,-0.34,0.23,-0.26,1.14,-1.83,0.66,1150,1150,1150,1150,1499,1528,1513,1029,11586,1,1.00
0.06,-0.06,-0.20,0.56,-0.45,1.35,-2.74,1.14,1150,1150,1150,1150,1499,1528,1513,1029,11586,1,0.99
0.06,-0.06,0.24,-0.20,0.36,-1.25,-1.61,-0.90,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.00
0.05,-0.06,-0.63,-0.57,1.00,2.28,1.89,-2.49,1150,1150,1150,1150,1500,1528,1513,1029,11586,1,1.01
0.06,-0.06,-0.39,-1.51,-0.79,2.01,5.94,1.98,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,0.99
0.05,-0.06,-0.63,-0.80,-1.17,2.46,5.35,2.93,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.01
0.05,-0.06,0.28,-0.72,0.82,-1.30,0.33,-2.06,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.01
0.05,-0.06,0.15,-1.69,0.46,-0.78,6.65,-1.16,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.06,-0.36,0.30,-0.90,0.40,-0.29,2.25,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.06,-0.07,1.46,-0.11,-0.33,-4.72,-3.35,0.83,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,0.99
0.06,-0.06,0.09,1.34,1.02,0.08,-6.27,-2.54,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,0.98
0.05,-0.05,-0.66,2.99,-0.17,1.70,-8.75,0.42,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,0.98
0.05,-0.05,-0.83,1.06,-0.88,2.73,-3.04,2.19,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,0.99
0.05,-0.05,-1.02,0.25,0.12,2.48,0.19,-0.30,1150,1150,1150,1150,1500,1527,1513,1029,11586,1,1.00
0.05,-0.04,-0.32,0.44,0.53,2.88,2.24,-1.32,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.01
0.06,-0.05,0.93,-0.72,-0.38,-2.34,1.69,0.95,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.01
0.06,-0.06,0.49,-3.63,0.04,-4.44,14.39,-0.09,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.02
0.06,-0.06,-0.74,-0.86,0.56,4.23,2.39,-1.40,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.02
0.06,-0.05,-0.41,1.27,0.34,4.45,-2.87,-0.86,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,0.98
0.06,-0.06,1.02,1.62,-1.01,-5.14,-8.83,2.51,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.00
0.07,-0.07,0.90,-1.81,0.26,-5.53,5.03,-0.66,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,1.02
0.06,-0.09,-0.57,-1.40,0.14,0.96,0.46,-0.35,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,0.97
0.06,-0.08,0.88,1.08,-1.32,-2.85,-6.02,3.30,1150,1150,1150,1150,1501,1527,1513,1029,11586,1,0.99
0.05,-0.10,-1.44,-5.45,0.95,3.32,15.60,-2.38,1150,1150,1150,1150,1501,1528,1512,1029,11586,1,1.02
0.03,-0.09,-6.84,-1.61,-0.79,21.25,12.16,1.97,1150,1150,1150,1150,1501,1528,1512,1029,11586,1,1.00
0.05,-0.08,-5.87,0.83,1.12,35.50,2.90,-2.81,1150,1150,1150,1150,1501,1528,1512,1029,11586,1,0.97
0.06,-0.10,-3.12,2.43,-0.35,20.19,-15.99,0.88,1150,1150,1150,1150,1501,1528,1512,1029,11586,1,1.00
0.06,-0.12,-2.39,-1.63,0.40,14.63,4.00,-0.99,1150,1150,1150,1150,1501,1528,1512,1029,11586,1,0.98
0.05,-0.09,-2.47,3.32,0.12,7.29,-0.30,-0.30,1150,1150,1150,1150,1501,1527,1512,1030,11586,1,1.03
0.05,-0.07,-2.53,4.41,-0.01,3.70,-5.03,0.03,1150,1150,1150,1150,1500,1527,1512,1030,11549,1,1.03
0.04,-0.08,-0.53,4.39,0.14,-7.04,-19.07,-0.36,1150,1150,1150,1150,1500,1527,1512,1030,11549,1,1.00
0.04,-0.10,0.05,2.25,-0.66,-19.54,-13.81,1.64,1150,1150,1150,1150,1500,1527,1513,1030,11549,1,0.97
0.08,-0.13,7.43,-2.99,1.39,-25.41,-1.22,-3.48,1150,1150,1150,1150,1500,1527,1513,1030,11549,1,0.97
0.05,-0.10,3.21,2.39,-1.13,-24.12,-4.72,2.82,1150,1150,1150,1150,1500,1527,1513,1029,11549,1,0.99
0.07,-0.14,5.82,-2.76,-0.07,-16.73,1.88,0.18,1150,1150,1150,1150,1500,1527,1513,1029,11549,1,0.96
0.05,-0.08,-1.13,6.14,-1.46,10.42,-9.89,3.66,1150,1150,1150,1150,1500,1527,1513,1029,11549,1,1.03
0.04,-0.10,-3.21,2.49,0.40,20.40,-16.94,-1.01,1150,1150,1150,1150,1500,1527,1513,1029,11549,1,1.04
0.02,-0.09,-5.25,-1.73,3.11,12.59,12.63,-7.78,1150,1150,1150,1150,1500,1527,1513,1029,11549,1,1.10
0.05,-0.11,1.36,2.37,-2.55,6.08,-13.49,6.38,1150,1150,1150,1150,1500,1526,1513,1029,11549,1,1.09
0.02,-0.12,-2.93,-5.40,-0.80,5.21,21.52,2.01,1150,1150,1150,1150,1499,1526,1512,1030,11549,1,1.13
0.05,-0.09,-2.47,1.25,-0.84,21.86,3.53,2.10,1150,1150,1150,1150,1499,1526,1512,1030,11549,1,1.19
0.03,-0.08,2.96,-1.88,2.38,-18.10,8.28,-5.94,1150,1150,1150,1150,1499,1528,1512,1030,11549,1,1.13
-0.01,-0.01,-11.25,14.24,1.89,34.54,-41.41,-4.71,1150,1150,1150,1150,1499,1528,1512,1030,11549,1,1.11
0.09,-0.04,15.02,-7.95,-3.16,-48.29,37.08,7.90,1150,1150,1150,1150,1499,1528,1512,1030,11549,1,1.06
0.06,-0.04,2.30,4.93,-0.18,-22.32,-19.43,0.46,1150,1150,1150,1150,1502,1526,1513,1029,11549,1,0.98
0.05,-0.08,-3.39,-1.34,-0.26,35.63,-19.94,0.64,1150,1150,1150,1150,1502,1526,1513,1029,11549,1,0.88
-0.01,-0.06,0.63,-0.36,-0.89,-6.51,10.71,2.22,1150,1150,1150,1150,1502,1526,1513,1030,11549,1,0.92
-0.05,-0.12,-8.55,1.53,0.32,18.23,-27.86,-0.80,1150,1150,1150,1150,1502,1526,1513,1030,11549,1,0.93
-0.01,-0.17,3.13,-10.23,0.92,12.60,8.14,-2.29,1150,1150,1150,1150,1502,1526,1513,1030,11549,1,0.96
-0.05,-0.12,2.03,9.49,-3.16,-3.58,-27.91,7.91,1150,1150,1150,1150,1501,1526,1512,1030,11549,1,0.97
-0.11,-0.26,-13.52,0.39,0.87,47.05,-43.82,-2.17,1150,1150,1150,1150,1501,1526,1512,1030,11549,1,0.98
-0.08,-0.23,-1.67,-5.36,1.61,18.90,21.55,-4.04,1150,1150,1150,1150,1501,1526,1512,1029,11549,1,0.99
-0.08,-0.22,8.01,6.51,-2.36,-37.60,-20.37,5.91,1150,1150,1150,1150,1501,1526,1512,1029,11549,1,0.96
-0.13,-0.31,-4.70,-9.61,-0.85,-3.58,18.76,2.13,1150,1150,1150,1150,1501,1526,1512,1029,11549,1,0.92
-0.03,-0.26,10.29,-0.61,-0.75,-12.27,16.22,1.87,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,1.02
-0.08,-0.25,7.84,4.02,-2.69,-39.43,-9.16,6.73,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,1.01
-0.15,-0.29,-10.40,-7.25,1.34,27.88,18.89,-3.34,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,1.06
-0.08,-0.26,0.65,4.04,2.16,25.86,-15.54,-5.41,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,1.04
-0.11,-0.26,3.36,8.99,1.10,-24.83,-37.76,-2.76,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,1.01
-0.16,-0.21,-8.29,2.33,-3.09,17.31,-2.20,7.71,1150,1150,1150,1150,1501,1527,1512,1029,11549,1,1.03
-0.06,-0.31,7.88,-16.35,-1.50,6.86,40.53,3.75,1150,1150,1150,1150,1501,1527,1512,1029,11549,1,0.98
-0.11,-0.28,-0.53,-2.06,3.24,-11.29,22.38,-8.10,1150,1150,1150,1150,1501,1527,1512,1029,11549,1,1.01
-0.11,-0.28,-1.31,5.42,-0.72,-6.21,-21.58,1.79,1150,1150,1150,1150,1501,1527,1512,1029,11549,1,1.02
-0.13,-0.32,1.38,-10.88,-0.57,-17.62,38.90,1.44,1150,1150,1150,1150,1501,1527,1513,1029,11549,1,0.99
