angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.11,0.03,-0.02,0.08,0.01,0.00,-0.01,0.00,1000,1000,1000,1000,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.08,-0.02,0.02,0.01,0.00,0.00,1000,1000,1000,1000,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.00,0.03,-0.04,0.00,-0.00,0.00,1000,1000,1000,1000,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.07,0.06,0.01,0.01,-0.01,0.00,1000,1000,1000,1000,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,0.00,-0.08,-0.05,-0.00,0.01,0.00,1150,1150,1150,1150,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.09,-0.08,0.03,0.01,0.01,0.00,1150,1150,1150,1150,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.01,0.05,0.02,0.00,-0.01,0.00,1150,1150,1150,1150,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,-0.03,-0.02,0.01,0.00,0.00,0.00,1150,1150,1150,1150,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,0.11,0.10,0.00,-0.02,-0.02,0.00,1150,1150,1150,1150,1500,1531,1507,1037,11927,1,1.00
-0.11,0.03,0.05,0.20,0.01,-0.01,-0.03,0.00,1150,1150,1150,1150,1500,1531,1506,1038,11927,1,1.00
-0.11,0.03,0.16,0.14,0.06,-0.02,-0.02,0.00,1150,1150,1150,1150,1500,1531,1506,1038,11927,1,1.00
-0.11,0.03,0.11,-0.13,-0.03,-0.02,0.02,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,0.10,-0.00,-0.06,-0.01,0.00,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,-0.06,-0.08,0.00,0.01,0.01,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,0.02,-0.28,0.06,-0.00,0.04,0.00,1150,1150,1150,1150,1500,1532,1507,1038,11927,1,1.00
-0.11,0.03,-0.06,-0.10,-0.02,0.01,0.02,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,0.08,0.12,0.03,-0.01,-0.02,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,0.01,0.29,0.19,-0.00,-0.04,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,-0.41,-0.25,-0.47,0.06,0.04,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,-0.28,-0.19,-0.05,0.04,0.03,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.00
-0.11,0.03,0.10,-0.27,0.71,-0.01,0.04,0.00,1150,1150,1150,1150,1500,1531,1507,1038,11927,1,1.01
